Timestamp,Você está de acordo?,Como ficou sabendo desta pesquisa/censo?,"Em relação ao seu gênero, como você se identifica?",Qual a sua data de nascimento?,Você já sofreu alguma discriminação ou teve alguma dificuldade por conta da sua faixa etária?,"Caso sim, você poderia comentar sobre?",Estado civil:,"De acordo com os critérios do IBGE, qual é a sua cor/raça?","Considerando questões relacionadas à raça, você teria alguma sugestão para que as R-Ladies sejam mais inclusivas?",Você possui filhos?,Quantos filhos você possui?,Qual a data de nascimento do seu filho mais novo? ,Você já deixou de ir a algum evento por não ter com quem deixar a sua filha/filho?,"Considerando questões relacionadas à maternidade, você teria alguma sugestão para que as R-Ladies sejam mais inclusivas?",Você possui algum tipo de deficiência?,Qual(is) tipo(s) de deficiência(s) você possui?,Você já deixou de ir a algum evento por falta de acessibilidade do ambiente?,"Considerando questões relacionadas ao universo PcD, você teria alguma sugestão para que as R-Ladies sejam mais inclusivas?",Você pertence ao grupo LGBT+?,Você já deixou de ir a algum evento por ambiente não inclusivo/ discriminatório?,"Considerando questões relacionadas ao universo LGBT+, você teria alguma sugestão para que as R-Ladies sejam mais inclusivas?","Você faz parte de algum grupo sub-representado na área de tecnologia, que não foi citado? Caso sim, qual?",Você possui alguma restrição alimentar?,Qual (s) restrição (s) você possui?,Sua restrição se encaixa em algum (s) do (s) grupo (s) descrito (s) abaixo?,Você teria alguma sugestão para os coffee breaks dos eventos das R-Ladies?,Você se sente representada pelas R-Ladies?,"Considerando a soma da renda de todos os membros que contribuem com as despesas da sua casa, em qual das faixas abaixo a renda mensal bruta da sua casa se encaixa? ",Quantas pessoas contribuem para essa renda? ,Quantas pessoas vivem a partir dessa renda? ,Onde você mora atualmente:,Qual é a sua escolaridade?,"Em que ano você obteve, ou irá obter, o título mencionado na pergunta anterior?",Qual a sua área de formação/estudo (considerando o grau máximo que você estudou)?,Atualmente você está estudando?,Qual(is) da(s) opção(s) abaixo melhor descreve(m) seu vínculo de trabalho atual?,Qual das opções abaixo melhor descreve o seu perfil atual?,Qual o nome da sua ocupação atual?,Você está em processo de mudança de área?,Você tem como levar um notebook para um evento das R-Ladies?,"Se você tiver um notebook, qual(is) é(são) o(s) sistema(s) operacional(is) dele?",Qual o seu conhecimento em lógica de programação? ,Qual o seu conhecimento na linguagem R? ,Você já utilizou alguma das bibliotecas listadas abaixo? ,Você sabe programar (linhas de código) em alguma linguagem de programação que não o R? ,"Se sim, quais?",Qual o seu conhecimento em Git/Github/Gitlab?,Como ficou sabendo das R-Ladies - São Paulo?,Você participa de outras comunidades de tecnologia?,"Se sim, qual (s)?",Você já foi a um evento das R-Ladies?,"Considerando as opções abaixo, quais são suas preferências em relação aos dias/horários de eventos das R-Ladies? ",Por qual(is) formato(s) de evento das R-Ladies São Paulo você tem preferência?,Quais temas você gostaria de ver nos próximos eventos das R-Ladies São Paulo?,Gostaria de deixar uma mensagem para as R-Ladies?,Uma última pergunta: você teria interesse em ajudar as R-Ladies São Paulo?
6/24/2019 13:06:03,Sim,,Feminino,12/23/1994,,,Solteira,Branca,,Não,,,,,Não,,,,Sim,,Considero as R-Ladies inclusivas,,Não,,,,Sim,De 4 a 6 salários mínimos,1,,Centro - São Paulo capital,Superior Incompleto,,Ciência Atuariais,Estudo e trabalho,,,,,,,4,3,"devtools / roxygen2 / usethis, dplyr / tidyr / janitor, ggplot2 / plotly, purrr / rlist",Sim,"Python, SQL, SAS",,,Não,,Sim,"Durante a semana (seg a sex), à noite, Sábado, manhã e tarde, Sábado, apenas pela manhã, Sábado, apenas à tarde",,Manipulação de big data,São incríveis e continuem assim!,"Sim, (uhull) então fica ligada no texto da próxima página, tem uma mensagem especialmente para você lá"
6/24/2019 15:18:35,Sim,,Feminino,12/8/1974,,,Solteira,Preta,"Eu sinto falta de inclusão de trans.  Essas pessoas no geral estão fora do mercado. Eu , por exemplo, não conheço alguém dessa área trans. Convida-las num assunto atrativo a eles em tecnologia. ",Não,,,,,Não,,,,Não,,,,Não,,,,Sim,De 1 a 2 salários mínimos,2,,Cidade fora da Grande São Paulo (interior ou litoral),Pós Graduação Completa,,"Economia, Contabilidade e atualmente estudo Geoprocessanento","Estou desempregada,  estudo, sou voluntária e trabalho na rua com minha mãe vendendo produtos industrializados. ",,,,,,,3,2,"dplyr / tidyr / janitor, e1071 / randomForest / mgcv / glmnet / rpart, forcats / lubridate / stringr, ggplot2 / plotly, tensorflow / keras",Sim,"Python, SQL, Java",,,Sim,Pyladies e CloudsGirls (sigo -as),Sim,"Sábado, manhã e tarde, Domingo",,R em Geoprocessamento ou R em pesquisas,,"Sim, (uhull) então fica ligada no texto da próxima página, tem uma mensagem especialmente para você lá"
1/19/2020 17:26:15,Não,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/19/2020 17:40:55,Sim,Grupo das R-Ladies no Telegram,Mulher (cis ou trans),5/13/1994,Não,,Solteira,Parda,,Não,,,,,Não,,,,Sim,Não,,,Não,,,,Sim,De 2 a 4 salários mínimos,1,1,São Paulo Capital / Centro,Superior Completo,2018-09-30,Estatística,Não,"Trabalho formalmente (CLT), Trabalho informalmente",Pleno,analista estatístico,"Não, e não quero",Sim,"Linux, Windows",4,5,"caret / h2o / mlr / parsnip / recipes, cluster / factorextra / FactoMineR / mvpart, data.table / Rcpp / parallel / vroom, DBI / odbc / haven / openxlsx / xlsx, devtools / roxygen2 / usethis, dplyr / tidyr / tidyverse / janitor, e1071 / randomForest / mgcv / glmnet / rpart, forcats / lubridate / stringr, forecast / quantmod / tseries / xts / zoo, ggplot2 / plotly, knit / rmarkdown, sf / ggsn / leaflet / viridis, shiny / flexdashboard, purrr / rlist, tensorflow / keras",Sim,"LateX, Python, SQL",3,Eventos,Sim,pyladies/ R Brasil,Sim,"Durante a semana (seg a sex), à noite, Sábado, apenas pela manhã, Sábado, apenas à tarde, Sábado, manhã e tarde, Domingo","Workshop (dia inteiro), Workshop (meio período), Palestras curtas (evento de até 2 horas), Mentoria",,beauties,"Sim, (uhull) então fica ligada no texto da próxima página, tem uma mensagem especialmente para você lá"
1/19/2020 18:16:06,Sim,Grupo das R-Ladies no Telegram,Não-binário,6/6/1997,Não,,Solteira,Branca,,Não,,,,,Não,,,,Sim,Não,"ainda que seja algo que venha naturalmente, que recebam mais pessoas trans e não binárias no grupo",,Não,,,,Sim,De 4 a 6 salários mínimos,1,1,São Paulo Capital / Zona Sul,Superior Completo,2018-12-01,jornalismo,Sim,Trabalho formalmente (CLT),Sênior/especialista,analista de mídias sociais,Sim,Sim,MacOS,4,4,"data.table / Rcpp / parallel / vroom, DBI / odbc / haven / openxlsx / xlsx, dplyr / tidyr / tidyverse / janitor, forcats / lubridate / stringr, ggplot2 / plotly, httr / jsonlite / rvest / xml2",Sim,"Python, SQL",3,Indicação de uma amiga,Não,,Não,"Durante a semana (seg a sex), à noite, Sábado, apenas pela manhã, Sábado, apenas à tarde, Sábado, manhã e tarde, Domingo","Mesa Redonda, Workshop (dia inteiro), Workshop (meio período), Palestras curtas (evento de até 2 horas), Mentoria, Network / acolhimento","tidyverse intermediário/avançado, pacotes específicos (como introdução a purrr), modelagem, introdução a machine learning",<3,"Sim, (uhull) então fica ligada no texto da próxima página, tem uma mensagem especialmente para você lá"
1/19/2020 22:29:25,Sim,Grupo das R-Ladies no Telegram,Mulher (cis ou trans),6/3/1989,Não,,Solteira,Branca,,Não,,,,,Não,,,,Não,,,,Não,,,,Sim,De 4 a 6 salários mínimos,2,2,São Paulo Capital / Zona Oeste,Doutorado/Pós-doutorado Incompleto,2020-08-01,Geografia,Sim,Bolsista,Estudante pós-graduação,Doutoranda em Geografia Humana,"Não, mas gostaria",Sim,Windows,2,2,"dplyr / tidyr / tidyverse / janitor, ggplot2 / plotly, knit / rmarkdown",Não,,1,Outras comunidades,Sim,PyLadies SP,Sim,"Durante a semana (seg a sex), durante o dia, Durante a semana (seg a sex), à noite, Sábado, manhã e tarde, Domingo","Workshop (dia inteiro), Workshop (meio período), Mentoria, Network / acolhimento",,,"Sim, (uhull) então fica ligada no texto da próxima página, tem uma mensagem especialmente para você lá"
1/20/2020 14:01:37,Sim,Grupo das R-Ladies no Telegram,Mulher (cis ou trans),3/3/1990,Não,,União estável,Branca,,Não,,,,,Não,,,,Sim,Não,,,Sim,Frutos do mar,alergias ou intolerâncias,,Sim,De 4 a 6 salários mínimos,2,2,São Paulo Capital / Zona Oeste,Doutorado/Pós-doutorado Incompleto,2022,Bioinformática,Sim,Trabalho como autônomo (MEI/PJ),Gestora(o) / Executiva(o) / C-level / Socia (o),Cientista de dados,"Não, e não quero",Não,Linux,4,5,"caret / h2o / mlr / parsnip / recipes, cluster / factorextra / FactoMineR / mvpart, data.table / Rcpp / parallel / vroom, devtools / roxygen2 / usethis, dplyr / tidyr / tidyverse / janitor, e1071 / randomForest / mgcv / glmnet / rpart, forcats / lubridate / stringr, ggplot2 / plotly, knit / rmarkdown, tensorflow / keras",Sim,Python,4,Indicação de uma amiga,Não,,Sim,"Durante a semana (seg a sex), à noite, Sábado, apenas pela manhã, Sábado, apenas à tarde, Sábado, dia inteiro","Mesa Redonda, Workshop (meio período), Palestras curtas (evento de até 2 horas), Network / acolhimento",,Vocês são inspiradoras.,"Sim, (uhull) então fica ligada no texto da próxima página, tem uma mensagem especialmente para você lá"
1/21/2020 10:33:50,Sim,Grupo das R-Ladies no Telegram,Mulher (cis ou trans),6/9/1982,Não,,Solteira,Branca,,Não,,,,,Não,,,,Não,,,,Não,,,,Sim,De 6 a 10 salários mínimos,1,1,São Paulo Capital / Zona Oeste,Pós Graduação (Lato Sensu) Completa,2009,jornalismo,Sim,Trabalho formalmente (CLT),Sênior/especialista,produtora de reportagem,"Não, e não quero",Sim,"Linux, MacOS, Windows",2,3,"data.table / Rcpp / parallel / vroom, dplyr / tidyr / tidyverse / janitor, knit / rmarkdown",Sim,SQL,2,Outras comunidades,Sim,Fórum da Escola de Dados,Sim,"Sábado, dia inteiro","Workshop (dia inteiro), Workshop (meio período), Palestras curtas (evento de até 2 horas), Mentoria",Webscraping,Obrigada!!,"Sim, (uhull) então fica ligada no texto da próxima página, tem uma mensagem especialmente para você lá"
1/21/2020 14:14:45,Sim,Grupo das R-Ladies no Telegram,Mulher (cis ou trans),4/30/1967,Sim,Dificuldade de recolocação no mercado de trabalho.,Casada,Branca,"Divulgar R-Ladies em grupos que abordam a questão racial, tais como a Universidade Zumbi dos Palmares, por exemplo",Sim,2,9/11/2002,Sim,Dar preferência a espaços que permitam levar crianças. ,Não,,,,Não,,,,Não,,,,Sim,De 6 a 10 salários mínimos,1,4,São Paulo Capital / Zona Oeste,Mestrado (Stricto Sensu) Completo,2010,Administração Pública,Sim,Trabalho formalmente (CLT),Gestora(o) / Executiva(o) / C-level / Socia (o),Assessora,Sim,Sim,MacOS,3,2,dplyr / tidyr / tidyverse / janitor,Sim,VBA,2,Indicação de uma amiga,Não,,Sim,"Durante a semana (seg a sex), à noite, Sábado, apenas pela manhã",Palestras curtas (evento de até 2 horas),"Uso do Shiny, uso do ggplot, Como conciliar trabalhos em R com o de outros aplicativos, tais como o Python",Parabéns pela proposta. Sigam em frente!!,"Sim, (uhull) então fica ligada no texto da próxima página, tem uma mensagem especialmente para você lá"
1/30/2020 17:36:53,Sim,Página/e-mail do Meetup das R-Ladies,Mulher (cis ou trans),8/27/1992,Sim,,Solteira,Branca,,Não,,,,,Não,,,,Sim,Não,,,Não,,,,Sim,De 6 a 10 salários mínimos,1,1,São Paulo Capital / Zona Sul,Superior Completo,2015,,Não,Trabalho formalmente (CLT),Pleno,Não informado,"Não, mas gostaria",Sim,MacOS,5,3,"bookdown / blogdown / pagedown, data.table / Rcpp / parallel / vroom, DBI / odbc / haven / openxlsx / xlsx, dplyr / tidyr / tidyverse / janitor, forcats / lubridate / stringr, ggplot2 / plotly, httr / jsonlite / rvest / xml2, knit / rmarkdown, shiny / flexdashboard, slidify / xaringan",Sim,"Python, SQL",3,Eventos,Não,,Sim,"Sábado, apenas pela manhã, Sábado, apenas à tarde, Domingo","Workshop (dia inteiro), Workshop (meio período)",,,"Sim, (uhull) então fica ligada no texto da próxima página, tem uma mensagem especialmente para você lá"
